"roi"	"label"	"coordinates"
216	"Right Middle Temporal Gyrus"	"48 mm [R],  -68 mm [P],    4 mm [S] {MNI}"
217	"Right Precuneus"	"13 mm [R],  -47 mm [P],    6 mm [S] {MNI}"
218	"Right Middle Occipital Gyrus"	"30 mm [R],  -95 mm [P],    1 mm [S] {MNI}"
219	"Right Calcarine Gyrus"	"8 mm [R],  -75 mm [P],   11 mm [S] {MNI}"
220	"Right Calcarine Gyrus"	"20 mm [R],  -61 mm [P],    7 mm [S] {MNI}"
221	"Right Cuneus"	"19 mm [R], -102 mm [P],    9 mm [S] {MNI}"
222	"Right Middle Occipital Gyrus"	"38 mm [R],  -86 mm [P],    8 mm [S] {MNI}"
223	"Right Superior Occipital Gyrus"	"11 mm [R],  -97 mm [P],   20 mm [S] {MNI}"
224	"Right Cuneus"	"14 mm [R],  -67 mm [P],   21 mm [S] {MNI}"
225	"Right Cuneus"	"4 mm [R],  -82 mm [P],   24 mm [S] {MNI}"
226	"Right Superior Occipital Gyrus"	"24 mm [R],  -91 mm [P],   21 mm [S] {MNI}"
227	"Right Middle Occipital Gyrus"	"32 mm [R],  -84 mm [P],   22 mm [S] {MNI}"
228	"Right Cuneus"	"12 mm [R],  -80 mm [P],   35 mm [S] {MNI}"
229	"Right Cuneus"	"12 mm [R],  -90 mm [P],   37 mm [S] {MNI}"
230	"Right Superior Occipital Gyrus"	"26 mm [R],  -83 mm [P],   33 mm [S] {MNI}"
231	"Right Temporal Pole"	"53 mm [R],    4 mm [A],   -7 mm [I] {MNI}"
232	"Right Superior Temporal Gyrus"	"62 mm [R],  -21 mm [P],    1 mm [S] {MNI}"
233	"Right Superior Temporal Gyrus"	"55 mm [R],  -15 mm [P],    7 mm [S] {MNI}"
234	"Right Insula Lobe"	"39 mm [R],  -18 mm [P],    6 mm [S] {MNI}"
235	"Right Insula Lobe"	"37 mm [R],   -8 mm [P],   15 mm [S] {MNI}"
236	"Right Insula Lobe"	"34 mm [R],  -21 mm [P],   16 mm [S] {MNI}"
237	"Right Superior Temporal Gyrus"	"61 mm [R],  -29 mm [P],   15 mm [S] {MNI}"
238	"Right Superior Temporal Gyrus"	"63 mm [R],  -43 mm [P],   19 mm [S] {MNI}"
239	"Right Rolandic Operculum"	"41 mm [R],  -14 mm [P],   19 mm [S] {MNI}"
240	"Right Rolandic Operculum"	"41 mm [R],  -30 mm [P],   21 mm [S] {MNI}"
241	"Right Rolandic Operculum"	"50 mm [R],  -13 mm [P],   15 mm [S] {MNI}"
242	"Right Rolandic Operculum"	"58 mm [R],    0 mm [A],   10 mm [S] {MNI}"
243	"Right Rolandic Operculum"	"47 mm [R],  -25 mm [P],   22 mm [S] {MNI}"
244	"Right Postcentral Gyrus"	"62 mm [R],  -15 mm [P],   18 mm [S] {MNI}"
245	"Right Precentral Gyrus"	"60 mm [R],    7 mm [A],   32 mm [S] {MNI}"
246	"Right Postcentral Gyrus"	"60 mm [R],   -4 mm [P],   28 mm [S] {MNI}"
247	"Right Postcentral Gyrus"	"61 mm [R],  -16 mm [P],   32 mm [S] {MNI}"
248	"Right Precentral Gyrus"	"51 mm [R],   -6 mm [P],   40 mm [S] {MNI}"
249	"Right Postcentral Gyrus"	"54 mm [R],  -19 mm [P],   43 mm [S] {MNI}"
250	"Right Middle Cingulate Cortex"	"9 mm [R],  -18 mm [P],   45 mm [S] {MNI}"
251	"Right Precentral Gyrus"	"52 mm [R],  -12 mm [P],   53 mm [S] {MNI}"
252	"Right Precentral Gyrus"	"43 mm [R],  -10 mm [P],   53 mm [S] {MNI}"
253	"Right Postcentral Gyrus"	"45 mm [R],  -29 mm [P],   61 mm [S] {MNI}"
254	"Right SMA"	"5 mm [R],  -11 mm [P],   52 mm [S] {MNI}"
255	"Right Precentral Gyrus"	"40 mm [R],  -22 mm [P],   60 mm [S] {MNI}"
256	"Right Precentral Gyrus"	"34 mm [R],  -20 mm [P],   68 mm [S] {MNI}"
257	"Right Postcentral Gyrus"	"27 mm [R],  -39 mm [P],   70 mm [S] {MNI}"
258	"Right Superior Parietal Lobule"	"27 mm [R],  -48 mm [P],   70 mm [S] {MNI}"
259	"Right Postcentral Gyrus"	"29 mm [R],  -30 mm [P],   68 mm [S] {MNI}"
260	"Right Paracentral Lobule"	"3 mm [R],  -28 mm [P],   63 mm [S] {MNI}"
261	"Right Precentral Gyrus"	"27 mm [R],  -15 mm [P],   72 mm [S] {MNI}"
262	"Right Paracentral Lobule"	"7 mm [R],  -44 mm [P],   72 mm [S] {MNI}"
263	"Right Precentral Gyrus"	"16 mm [R],  -26 mm [P],   71 mm [S] {MNI}"
264	"Right Precentral Gyrus"	"17 mm [R],  -30 mm [P],   75 mm [S] {MNI}"
265	"Right Postcentral Gyrus"	"17 mm [R],  -36 mm [P],   79 mm [S] {MNI}"
266	"Right SMA"	"12 mm [R],  -12 mm [P],   75 mm [S] {MNI}"
267	"Right Superior Parietal Lobule"	"15 mm [R],  -56 mm [P],   75 mm [S] {MNI}"
268	"Right Paracentral Lobule"	"3 mm [R],  -25 mm [P],   76 mm [S] {MNI}"
269	"Right Paracentral Lobule"	"12 mm [R],  -25 mm [P],   78 mm [S] {MNI}"
270	"Right Postcentral Gyrus"	"9 mm [R],  -36 mm [P],   81 mm [S] {MNI}"
271	"Right Fusiform Gyrus"	"47 mm [R],  -51 mm [P],  -20 mm [I] {MNI}"
272	"Right Inferior Temporal Gyrus"	"57 mm [R],  -55 mm [P],   -3 mm [I] {MNI}"
273	"Right Middle Temporal Gyrus"	"52 mm [R],  -61 mm [P],   17 mm [S] {MNI}"
